Normalized id,Title,Author,Year,Count
10.5860/choice.46-6185,Biosemiotics: An examination into the signs of life and the life of signs,Jesper Hoffmeyer,2008,80
10.1515/semi.1982.42.1.25,The theory of meaning,Jakob von Uexküll,1934,54
10.1590/s1415-47572003000100017,The organic codes. An introduction semantic biology,Marcello Barbieri,2003,47
10.2979/2972.0,Signs of meaning in the universe,Jesper Hoffmeyer,1996,46
10.2307/329984,The symbolic species: The co-evolution of language and the brain,Terrence Deacon,1997,45
10.1007/1-4020-4814-9_6,Semiotic scaffolding of living systems,Jesper Hoffmeyer,2007,44
10.1007/978-1-4020-9650-1_24,Biosemiotics: a new understanding of life,Marcello Barbieri,2008,42
10.1002/j.1538-7305.1948.tb01338.x,A mathematical theory of communication,Claude Shannon,1948,41
ol:OLID:OL15015691W,Autopoiesis and cognition. The realization of the living,"Humberto R. Maturana , Francisco J. Varela",1980,37
10.1515/9783110849875.117,Code-duality and the semiotics of nature,Jesper Hoffmeyer,1991,37
10.1093/isle/isr115,A Foray into the Worlds of Animals and Humans: With A Theory of Meaning,Jakob von Uexküll,2013,30
10.2307/446833,Steps to an Ecology of Mind,Gregory Bateson,1972,28
stroll_worlds_animals_men_picture_book_invisible_w_eb2a8fef,A Stroll Through the Worlds of Animals and Men-a picture book of invisible worlds,Jakob von Uexküll,1909,27
biosemiotic_root_proliferation_prospect_c5a1008c,"Biosemiotics: Its roots, proliferation, and prospects",Thomas Sebeok,1989,27
10.5860/choice.49-4436,Incomplete Nature: How Mind Emerged from Matter,Terrence Deacon,2012,25
ol:OLID:OL35591729W,The collected papers of Charles Sanders Peirce,Charles Sanders Peirce,1931,24
10.1007/978-94-024-0858-4,Cultural implications of biosemiotics,Paul Cobley,2016,23
10.2307/j.ctt1xp3nmm.20,The ecological approach to visual perception,James J. Gibson,1965,23
ecosemiotic_study_sign_change_ecology_f4509a26,Ecosemiotics: The study of signs in changing ecologies,Timo Maran,2020,23
10.1007/s12304-021-09453-9,Physiology and the (Neuro)biology of Plant Behavior: A Farewell to Arms,Paco Calvo,2020,22
10.1007/978-3-319-50317-2,Mimicry and Meaning: Structure and Semiotics of Biological Mimicry,Timo Maran,2017,22
10.1007/s10980-005-7755-x,The eco-field hypothesis: Toward a cognitive landscape,Almo Farina,2006,21
10.1007/s11196-008-9066-4,"Diagrammatology: An investigation on the borderlines of phenomenology, ontology, and semiotics",Frederik Stjernfelt,2007,21
10.1162/biot.2009.4.2.167,Theses on biosemiotics: Prolegomena to a theoretical biology,Kalevi Kull,2009,21
10.1007/s12304-014-9219-7,Protosemiosis: agency with reduced representation capacity,Alexei Sharov,2014,20
form_meaning_modelling_system_theory_semiotic_anal_1f8cfb48,The forms of meanings. Modelling systems theory and semiotic analysis,Thomas Sebeok,2000,20
10.1016/S0303-2647(01)00104-6,The physics of symbols: Bridging the epistemic cut,Howard Pattee,2001,20
10.1007/s12304-015-9247-y,The Great Chain of Semiosis. Investigating the Steps in the Evolution of Semiotic Competence,Jesper Hoffmeyer,2016,19
10.1007/s10441-006-8261-5,"Evolution in four dimensions: genetic, epigenetic, behavioral, and symbolic variation in the history of life",Eva Jablonka,2005,19
10.1038/083331a0,Umwelt und Innenwelt der Tiere,Jakob von Uexküll,1909,19
10.1007/1-4020-4814-9_1,The evolutionary history of biosemiotics,Donald Favareau,2007,19
10.2307/2906578,Mind and nature. A necessary Unity,Gregory Bateson,1979,18
10.1126/science.298.5598.1569,"The faculty of language: What is it, who has it, and how did it evolve? science","Marc D. Hauser, Noam Chomsky, W. Tecumseh Fitch",2002,18
10.5860/choice.29-4505,"Life itself: A comprehensive inquiry into the nature, origin, and fabrication of life",,1991,18
evolution_sensitive_soul_learning_origin_conscious_1db55eef,The evolution of the sensitive soul: learning and the origins of consciousness,,2019,18
10.1007/s12304-010-9087-8,Towards an evolutionary biosemiotics: Semiotic selection and semiotic cooption,Maran,2010,18
semiotic_niche_de3c69a1,The semiotic niche,Hoffmeyer,2008,18
10.12697/sss.1998.26.15,Semiotic ecology: different natures in the semiosphere,Kull,1998,18
essential_peirce_select_philosophical_writing_22403c56,"The essential Peirce, selected philosophical writings",Charles Sanders Peirce,1998,17
10.1007/s12304-015-9229-0,"The biosemiotic glossary project: Agent, agency",Tønnessen,2015,17
10.3390/e12051050,Functional Information: towards synthesis of biosemiotics and cybernetics,Sharov,2010,17
10.5860/choice.39-4502,Four ages of understanding: the first postmodern survey of philosophy from ancient times to the turn of the twenty-first century,,2001,17
10.1007/s12304-021-09405-3,The illusions of the modern synthesis,Noble,2021,17
legacy_living_systems_gregory_bateson_precursor_bi_561689fa,A Legacy for Living Systems: Gregory Bateson as Precursor to Biosemiotics,,2008,17
10.1007/s12304-010-9081-1,"Ecosystems are made of semiosic bonds: consortia, umwelten, biophony and ecological codes",Kull,2010,17
10.1007/s12304-008-9036-y,Umwelt transitions: Uexküll and environmental change,Tønnessen,2009,17
10.1007/1-4020-4814-9_15,Cellular semiotics and signal transduction,Bruni,2008,17
10.1007/978-0-306-47828-4_186,The selfish gene,,1976,16
10.1098/rspb.2015.1019,"The extended evolutionary synthesis: Its structure, assumptions and predictions",Laland,1813,16
ol:OLID:OL20860197W,Investigations,,2000,16
eco_field_new_paradigm_landscape_ecology_a3211367,Eco-field: A new paradigm for landscape ecology,Farina,2004,16
10.1007/1-4020-4814-9_4,The necessity of biosemiotics: Matter-symbol complementarity,Pattee,2007,16
ol:OLID:OL3023751W,Perspectives in Zoosemiotics,,1972,16
10.1007/s12304-022-09501-y,Learning and the Evolution of Conscious Agents,Jablonka,2022,16
natural_proposition_actuality_peirce_doctrine_dici_53488789,Natural propositions: The Actuality of Peirce's Doctrine of Dicisigns,,2014,16
10.1007/s12304-009-9042-8,A short history of biosemiotics,Barbieri,2009,16
10.1515/cogsem.2009.4.spring2009.8,"Vegetative, animal, and cultural semiosis: the semiotic threshold zones",Kull,2009,16
10.1353/pbm.2004.0029,Niche construction: The neglected process in evolution,,2003,16
10.2307/2005041,Theory of self-reproducing automata,,1966,16
10.1007/s12304-008-9012-6,"Physical and functional conditions for symbols, codes, and languages",Pattee,2008,16
ol:OLID:OL17667159W,The tree of knowledge. The biological root of human understanding,,1998,15
ol:OLID:OL21213479W,Cybernetics or control and communication in the animal and the machine,,1961,15
semiome_genetic_semiotic_scaffolding_f90f5e78,The semiome: From genetic to semiotic scaffolding,Hoffmeyer,0198,15
jakob_von_uexküll_discovery_umwelt_biosemiotic_the_90eaae66,Jakob von Uexküll: The discovery of the Umwelt between biosemiotics and theoretical biology,,2015,15
10.5962/bhl.title.59991,"On the origin of the species by means of natural selection, or the preservation of favoured races in the struggle for life",,1859,15
ol:OLID:OL37615571W,What Is It Like to Be a,Calvo,2017,14
10.5860/choice.31-2099,The Origins of Order: Self-Organization and Selection in Evolution,,1993,14
10.5860/choice.45-2543,"Mind in life: Biology, phenomenology, and the sciences of mind",,2007,14
10.1007/978-3-030-89484-9,Semiotic Agency: Science Beyond mechanism,,2021,14
ol:OLID:OL855998W,The major transitions in evolution,Smith,1982,13
10.5860/choice.31-5438,Development and evolution: Complexity and change in biology,,1993,13
10.1007/s12304-008-9038-9,Three types of semiosis,Barbieri,2009,13
ol:OLID:OL13199517W,A stroll through the worlds of animals and men,Uexküll,1957,13
10.1086/344621,"Information: its interpretation, its inheritance and its sharing",Jablonka,2002,13
10.1007/s12304-015-9246-z,Semantic organs: The concept and its theoretical ramifications,Kleisner,2015,13
10.12697/SSS.2018.46.4.03,Choosing and learning: semiosis means choice,Kull,2018,13
